Title,Directions,Quantity,Unit01,Ingredient01,Quantity02,Unit02,Ingredient02,Quantity03,Unit03,Ingredient03,Quantity04,Unit04,Ingredient04,Quantity05,Unit05,Ingredient05,Quantity06,Unit06,Ingredient06,Quantity07,Unit07,Ingredient07,Quantity08,Unit08,Ingredient08,Quantity09,Unit09,Ingredient09,Quantity10,Unit10,Ingredient10,Quantity11,Unit11,Ingredient11,Quantity12,Unit12,Ingredient12,Quantity13,Unit13,Ingredient13,Quantity14,Unit14,Ingredient14,Quantity15,Unit15,Ingredient15,Quantity16,Unit16,Ingredient16,Quantity17,Unit17,Ingredient17,Quantity18,Unit18,Ingredient18,Quantity19,Unit19,Ingredient19,Category,ingredients,tokenized_ingr,ingr_json
Banana Cake,Bake in three layer pans at 350 degrees., 1/2,cup,shortening,1 1/2,cups,sugar,2,nan,eggs,pinch,salt,nan, 1/2,cup,sour milk,1,tsp,soda water,1 3/4,cups,flour,1 1/2,tsp,baking powder, 1/2,cup,chopped nuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,shortening;sugar;eggs;nan;sour milk;soda water;flour;baking powder;chopped nuts;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['shortening', ';', 'sugar', ';', 'eggs', ';', 'nan', ';', 'sour', 'milk', ';', 'soda', 'water', ';', 'flour', ';', 'baking', 'powder', ';', 'chopped', 'nuts', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'milk', 'eggs']"
Blueberry Coffee Cake,"Mix butter, 1 cup sugar, flour, 2 eggs, 2 tsp vanilla, baking powder, and milk to make cake batter. Blend easily. Add 3 cups of blueberries. Put 2 1/2 cups of batter in pan.Mix cream cheese, 1/2 cup sugar, 1 egg, lemon juice and 1 tsp vanilla to make filling. Put filling on top of batter. Top with remaining batter.Make streusel topping from flour, butter, brown sugar, ad cinnamon. Sprinkle on top of cake.Bake at 375 degrees for 1 hour and 5 minutes. Check after 50 minutes.",12,ounces,cream cheese,1 1/2,cups,sugar,3,nan,eggs,1,tbps,lemon juice,3,tsp,vanilla, 1/4,cup,butter,4,cups,flour,1,tbsp + 1 tsp,baking powder,1,cup,milk,3,cups,blueberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,cream cheese;sugar;eggs;lemon juice;vanilla;butter;flour;baking powder;milk;blueberries;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['cream', 'cheese', ';', 'sugar', ';', 'eggs', ';', 'lemon', 'juice', ';', 'vanilla', ';', 'butter', ';', 'flour', ';', 'baking', 'powder', ';', 'milk', ';', 'blueberries', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'milk', 'eggs']"
Chocolate Cake,Mix all ingredients together. Pour in 1 cup boiling water. Mix well. Bake about 35 minutes at 375 degrees., 1/2,cup,margarine,2,cups,sugar,2,nan,eggs,5,tbsp,cocoa, 1/2,tsp,salt, 1/2,cup,sour milk,2,tsp,baking soda,2,cups,flour, 1/2,tsp,cloves,1,tsp,vanilla,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,margarine;sugar;eggs;cocoa;salt;sour milk;baking soda;flour;cloves;vanilla;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['margarine', ';', 'sugar', ';', 'eggs', ';', 'cocoa', ';', 'salt', ';', 'sour', 'milk', ';', 'baking', 'soda', ';', 'flour', ';', 'cloves', ';', 'vanilla', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'milk', 'cocoa', 'eggs']"
Chocolate Mayonaise Cake,Makes 2 layer cake.,3,cups,flour,1 1/2,cups,sugar, 1/3,cup,cocoa,2 1/4,tsp,baking powder,1 1/2,tsp,baking soda,1 1/2,cups,Best Foods Mayonnaise,1 1/2,cups,water,1 1/2,tsp,vanilla,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,flour;sugar;cocoa;baking powder;baking soda;Best Foods Mayonnaise;water;vanilla;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['flour', ';', 'sugar', ';', 'cocoa', ';', 'baking', 'powder', ';', 'baking', 'soda', ';', 'Best', 'Foods', 'Mayonnaise', ';', 'water', ';', 'vanilla', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'cocoa']"
Crazy Cake,"Mix first 5 ingredients well, about 4 minutes. Bake at 350 degrees in a 9x13 pan for 35 minutes. Poke holes in warm cake and pour on mixture of powdered sugar and lemon juice.",1,box,lemon cake mix, 3/4,cup,water,1,small pkg,lemon jello, 3/4,cup,vegetable oil,4,nan,eggs,2,cups,powdered sugar, 1/2,cups,lemon juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,lemon cake mix;water;lemon jello;vegetable oil;eggs;powdered sugar;lemon juice;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['lemon', 'cake', 'mix', ';', 'water', ';', 'lemon', 'jello', ';', 'vegetable', 'oil', ';', 'eggs', ';', 'powdered', 'sugar', ';', 'lemon', 'juice', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'eggs']"
Fresh Apple Cake,"Mix apples and sugar well. Add oil, nuts, and eggs. Add vanilla and dry ingredients. Bake at 350 degrees for 40-45 minutes. Serve with whipped cream or top with cream cheese frosting.",4,cups,diced apples,2,cups,sugar,1,cups,chopped nuts,2,nan,"eggs, well beaten",2,tsp,vanilla,2,cups,flour,2,tsp,baking powder,2,tsp,cinnamon, 1/2,cups,vegetable oil,1,tsp,baking soda,1,tsp,salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,"diced apples;sugar;chopped nuts;eggs, well beaten;vanilla;flour;baking powder;cinnamon;vegetable oil;baking soda;salt;nan;nan;nan;nan;nan;nan;nan;nan","['diced', 'apples', ';', 'sugar', ';', 'chopped', 'nuts', ';', 'eggs', ',', 'well', 'beaten', ';', 'vanilla', ';', 'flour', ';', 'baking', 'powder', ';', 'cinnamon', ';', 'vegetable', 'oil', ';', 'baking', 'soda', ';', 'salt', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'eggs', 'flour', 'apples']"
Fresh Pear Cake,"Butter and flour a 9 inch round pan. Peel and slice pears. Blend eggs, sugar, milk, and salt. Add flour, mix well. Fold 1/2 of pears into batter. Pour into pan, fan remaining pears on top. Dot with butter. Bake at 350 degrees about 55 minutes. Sprinkle with powdered sugar.",2,tbps,butter,1 1/2,cups,flour,3,nan,pears,2,nan,eggs,1,cup,sugar, 1/2,cup,milk, 1/8,tsp,salt,nan,nan,powdered sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,butter;flour;pears;eggs;sugar;milk;salt;powdered sugar;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['butter', ';', 'flour', ';', 'pears', ';', 'eggs', ';', 'sugar', ';', 'milk', ';', 'salt', ';', 'powdered', 'sugar', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['flour', 'sugar', 'milk', 'eggs']"
Graham Cracker Cake,"Cream butter and sugar. Add crushed crackers, sour milk, and soda. Stir in nuts. Bake in 10 inch square baking pan. Bake in 350 degree oven for 30-35 minutes. Serve with whipped cream or thin powdered sugar icing.", 1/2,cup,butter,1,cup,sugar,1,cup,sour milk,32,nan,"graham crackers, crushed",1,tsp,baking soda,1,cup,chopped nuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,"butter;sugar;sour milk;graham crackers, crushed;baking soda;chopped nuts;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['butter', ';', 'sugar', ';', 'sour', 'milk', ';', 'graham', 'crackers', ',', 'crushed', ';', 'baking', 'soda', ';', 'chopped', 'nuts', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'milk', 'graham']"
Hot Water Chocolate Cake,Mix all ingredients together. Pour in 1 cup boiling water. Mix well. Bake about 35 minutes at 375 degrees., 1/2,cup,margarine,2,cups,sugar,2,nan,eggs,5,tbsp,cocoa, 1/2,tsp,salt, 1/2,cup,sour milk,2,tsp,baking soda,2,cup,flour, 1/2,tsp,cloves,1,tsp,vanilla,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,margarine;sugar;eggs;cocoa;salt;sour milk;baking soda;flour;cloves;vanilla;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['margarine', ';', 'sugar', ';', 'eggs', ';', 'cocoa', ';', 'salt', ';', 'sour', 'milk', ';', 'baking', 'soda', ';', 'flour', ';', 'cloves', ';', 'vanilla', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'milk', 'cocoa', 'eggs']"
Hungry Bear Cheese Cake,"Combine first 5 ingredients to make crust. Save 1/4 cup for top. Press remaining crumbs evenly over bottom and about 2 inches up sides of a 9 inch spring form pan. Prepare filling: beat cream cheese and cottage cheese until smooth. Add eggs, one at a time, bating well. Blend in lemon juice and vanilla. Mix sugar, flour and salt. Add to cheese mixture. Pour into crust. Bake at 350 degrees until set, about 35 to 40 minutes. Combine topping ingredients (sour cream, sugar, vanilla, and salt). Spread evenly over hot cheese cake. Return to oven until cream sets, about 5 minutes. Cool in pan on rack. Sprinkle reserved crumbs around edge of cake.", 1/4,cup,"wheat germ, optional",1 3/4,cup,graham cracker crumbs,3,tbsp,sugar,1,tsp,cinnamon, 1/3,cup,melted butter, 1/2,pint,sour cream, 1/3,cup,sugar,1,tsp,vanilla, 1/8,tsp,salt,8,ounces,cream cheese, 1/2,pint,cottage cheese,4,nan,eggs,1,tbsp,lemon juice,2,tsp,vanilla, 2/3,cup,sugar,2,tbsp,flour,2,tbsp,flour, 1/4,tsp,salt,nan,nan,nan,cakes,"wheat germ, optional;graham cracker crumbs;sugar;cinnamon;melted butter;sour cream;sugar;vanilla;salt;cream cheese;cottage cheese;eggs;lemon juice;vanilla;sugar;flour;flour;salt;nan","['wheat', 'germ', ',', 'optional', ';', 'graham', 'cracker', 'crumbs', ';', 'sugar', ';', 'cinnamon', ';', 'melted', 'butter', ';', 'sour', 'cream', ';', 'sugar', ';', 'vanilla', ';', 'salt', ';', 'cream', 'cheese', ';', 'cottage', 'cheese', ';', 'eggs', ';', 'lemon', 'juice', ';', 'vanilla', ';', 'sugar', ';', 'flour', ';', 'flour', ';', 'salt', ';', 'nan']","['graham', 'sugar', 'flour', 'eggs']"
